País,Indicador,Año,Puntuación
Francia,Transporte internacional,2022,3.545295
Francia,Trazabilidad,2022,3.999365
Francia,Índice global de desempeño logístico (LPI),2022,3.844475
Francia,Aduanas,2023,3.7
Francia,Competencia logística,2023,3.8
Francia,Infraestructura,2023,3.8
Francia,Puntualidad,2023,4.1
Francia,Transporte internacional,2023,3.7
Francia,Trazabilidad,2023,4.0
Francia,Índice global de desempeño logístico (LPI),2023,3.9
Francia,Aduanas,2024,3.7
Francia,Competencia logística,2024,3.8
Francia,Infraestructura,2024,3.8
Francia,Puntualidad,2024,4.1
Francia,Transporte internacional,2024,3.7
Francia,Trazabilidad,2024,4.0
Francia,Índice global de desempeño logístico (LPI),2024,3.9
Italia,Aduanas,2017,3.453031
Italia,Competencia logística,2017,3.765139
Italia,Infraestructura,2017,3.791468
Italia,Puntualidad,2017,4.032609
Italia,Transporte internacional,2017,3.651206
Italia,Trazabilidad,2017,3.857773
Italia,Índice global de desempeño logístico (LPI),2017,3.755414
Italia,Aduanas,2018,3.472044
Italia,Competencia logística,2018,3.655042
Italia,Infraestructura,2018,3.852904
Italia,Puntualidad,2018,4.126595
Italia,Transporte internacional,2018,3.512059
Italia,Trazabilidad,2018,3.854946
Italia,Índice global de desempeño logístico (LPI),2018,3.739152
Italia,Aduanas,2019,3.472044
Italia,Competencia logística,2019,3.655042
Italia,Infraestructura,2019,3.852904
Italia,Puntualidad,2019,4.126595
Italia,Transporte internacional,2019,3.512059
Italia,Trazabilidad,2019,3.854946
Italia,Índice global de desempeño logístico (LPI),2019,3.739152
Italia,Aduanas,2020,3.472044
Italia,Competencia logística,2020,3.655042
Italia,Infraestructura,2020,3.852904
Italia,Puntualidad,2020,4.126595
Italia,Transporte internacional,2020,3.512059
Italia,Trazabilidad,2020,3.854946
Italia,Índice global de desempeño logístico (LPI),2020,3.739152
Italia,Aduanas,2021,3.472044
Italia,Competencia logística,2021,3.655042
Italia,Infraestructura,2021,3.852904
Italia,Puntualidad,2021,4.126595
Italia,Transporte internacional,2021,3.512059
Italia,Trazabilidad,2021,3.854946
Italia,Índice global de desempeño logístico (LPI),2021,3.739152
Italia,Aduanas,2022,3.472044
Italia,Competencia logística,2022,3.655042
Italia,Infraestructura,2022,3.852904
Italia,Puntualidad,2022,4.126595
Italia,Transporte internacional,2022,3.512059
Italia,Trazabilidad,2022,3.854946
Italia,Índice global de desempeño logístico (LPI),2022,3.739152
Italia,Aduanas,2023,3.4
Italia,Competencia logística,2023,3.8
Italia,Infraestructura,2023,3.8
Italia,Puntualidad,2023,3.9
Italia,Transporte internacional,2023,3.4
Italia,Trazabilidad,2023,3.9
Italia,Índice global de desempeño logístico (LPI),2023,3.7
Italia,Aduanas,2024,3.4
Italia,Competencia logística,2024,3.8
Italia,Infraestructura,2024,3.8
Italia,Puntualidad,2024,3.9
Italia,Transporte internacional,2024,3.4
Italia,Trazabilidad,2024,3.9
Italia,Índice global de desempeño logístico (LPI),2024,3.7
